ENTITY_CD,ENTITY_NAME,YEAR,NUM_FREE_LUNCH,PER_FREE_LUNCH,NUM_REDUCED_LUNCH,PER_REDUCED_LUNCH
050301040000,WEEDSPORT CENTRAL SCHOOL DISTRICT,2018,208,26,40,5
050301040002,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,2018,94,23,18,4
050301040003,WEEDSPORT ELEMENTARY SCHOOL,2018,114,28,22,5
050401040000,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,2018,334,38,45,5
050401040001,CATO-MERIDIAN ELEMENTARY SCHOOL,2018,135,40,18,5
050401040002,CATO-MERIDIAN MIDDLE SCHOOL,2018,96,38,12,5
050401040003,CATO-MERIDIAN SENIOR HIGH SCHOOL,2018,103,35,15,5
050701040000,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,2018,243,39,52,8
050701040005,SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL,2018,113,38,24,8
050701040007,SOUTHERN CAYUGA ELEMENTARY SCHOOL,2018,130,39,28,8
051101040000,PORT BYRON CENTRAL SCHOOL DISTRICT,2018,377,45,21,3
051101040001,A A GATES ELEMENTARY SCHOOL,2018,197,49,3,1
051101040004,PORT BYRON SENIOR HIGH SCHOOL,2018,180,42,18,4
051301040000,MORAVIA CENTRAL SCHOOL DISTRICT,2018,387,42,66,7
051301040001,MILLARD FILLMORE ELEMENTARY SCHOOL,2018,198,45,28,6
051301040003,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,2018,189,39,38,8
051901040000,UNION SPRINGS CENTRAL SCHOOL DISTRICT,2018,268,33,25,3
051901040003,CAYUGA ELEMENTARY SCHOOL,2018,108,37,10,3
051901040005,UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL,2018,84,30,8,3
